,0,1,2,3,4,5,6,7,8,9,10
1,0.004159468,0.531225708,0.199456985,0.004418744,0.026589322,0.021501437,0.093536837,0.009175872,0.129438761,0.045454047,0.76142305
2,0.047639881,0.437499999,0.138028622,0.051644553,0.086107536,0.093516936,0.040892207,0.001594519,0.053913737,0.008132485,0.644336644
3,0.047746321,0.414772729,0.180650201,0.046168921,0.082113198,0.069644148,0.06493851,0.004928361,0.092869354,0.029077789,0.608760437
4,0.070534069,0.397727273,0.197534014,0.092369014,0.128336199,0.112765298,0.059953717,0.002425601,0.082039914,0.017305102,0.583751773
5,0.105880379,0.259239702,0.173158468,0.119210705,0.172908415,0.151445424,0.045672074,-1.21E-07,0.06541018,0.009721542,0.403602559
6,0.159753747,0.465909075,0.312348673,0.200035356,0.273854505,0.233088272,0.087743205,0.002553306,0.120842545,0.021692202,0.703493728
7,0.112394376,0.471590912,0.274651016,0.140428219,0.181186185,0.139577774,0.052227768,0.001595688,0.077605311,0.017753945,0.68523185
8,0.125004281,0.329545461,0.206214676,0.144146451,0.222662796,0.210044059,0.08765029,0.003009924,0.116707506,0.020003696,0.523164039
9,0.07826915,0.475859916,0.233173624,0.089849398,0.12680297,0.099627417,0.057001388,0.003589876,0.083429568,0.023931349,0.691493952
10,0.026342942,0.421891303,0.112994211,0.013599815,0.04494174,0.056277828,0.039652926,0.00242521,0.055432446,0.013966871,0.621767716
11,0.075357295,0.516555155,0.249870378,0.094961661,0.131226911,0.106214397,0.068857095,0.004050427,0.097560931,0.026210942,0.74836118
12,0.123007231,0.323863632,0.225123687,0.153005152,0.193705963,0.153361544,0.027908601,-0.001361441,0.043298507,0.003418888,0.478466085
13,0.056707157,0.346590914,0.136803857,0.061525777,0.112992793,0.12123081,0.073110298,0.0035105,0.096050821,0.019328038,0.530623432
14,0.074588907,0.522727276,0.196566479,0.090162601,0.148003471,0.156764564,0.083867234,0.003669372,0.108647471,0.01880333,0.782737495
15,0.024722485,0.124931234,0.031275849,0.011209659,0.053118085,0.070436122,0.051047682,0.003483132,0.066038914,0.015358059,0.213674874
16,0.019337148,0.389044265,0.073961847,0.003388729,0.031169615,0.051557152,0.022223876,0.000860061,0.030030355,0.004241902,0.575146649
17,0.051603743,0.482954545,0.187364516,0.065984116,0.098198003,0.094511529,0.058240405,0.002636807,0.078999582,0.016863504,0.703612222
18,0.001017761,0.244318185,0.099647246,5.10E-09,0.011341345,0.007015459,0.049369233,0.004473146,0.06947026,0.024757262,0.351151867
19,0.062038147,0.397727272,0.118791747,0.057248197,0.106660348,0.119847677,0.041250332,0.000877101,0.054323691,0.005698142,0.602817178
20,0.047323065,0.537430451,0.244412892,0.067619384,0.091657524,0.070099516,0.075588527,0.00547652,0.106052069,0.031908991,0.768163973
21,0.020567539,0.382425523,0.093623913,0.023533199,0.038285081,0.049703541,0.01657304,0.000195072,0.020737169,-1.11E-07,0.552091027
22,0.018496403,0.495050971,0.153843634,0.011519186,0.052932791,0.067219228,0.090187742,0.007656408,0.120197483,0.035010123,0.73134446
23,0.123456793,0.433904929,0.278690183,0.166420569,0.224935068,0.193670222,0.090458525,0.003350624,0.121694032,0.023242265,0.64796859
24,0.130592381,0.191578372,0.227541992,0.17185068,0.22515016,0.180972295,0.066914413,0.001962825,0.092017818,0.017093976,0.300157089
